Matricula,S1,S2,S3,S4,S5,S6
GRR20152147,7.5,6.5,5.3,4.5,7,6.5
GRR20150470,8.5,6,6,3,1,0
GRR20150417,9,10,10,8,10,7.6
GRR20150452,8.7,3,5.5,5,9,5.6
GRR20159633,9,8.1,8,4.3,8,7.7
GRR20158399,9,6.8,9,3.5,4.5,NA
GRR20157880,9.5,5,9.8,5,2,8.2
GRR20159917,9,6.6,5.4,1,6,3
GRR20152988,8.5,9.8,7,7.5,10,7.5
GRR20153016,9.8,10,NA,8.5,10,NA
GRR20159781,8,NA,NA,NA,NA,NA
GRR20152736,NA,NA,NA,NA,NA,NA
GRR20151292,9.5,7,8.9,1.5,6,5
GRR20159711,9.3,9,10,5,5,8.1
GRR20151516,9,10,9.9,5,9.5,NA
GRR20152591,9,9.5,8.4,7.5,10,NA
GRR20154112,8.5,4,7.5,3.5,7,6.5
GRR20154179,9.5,9.5,9.9,7,9,NA
GRR20154101,9.7,9.5,10,7,9,10
GRR20150978,9.8,9.8,10,7.5,10,9
GRR20153599,9.5,4.8,5,3.5,NA,8.1
GRR20150836,9,10,10,8,10,10
GRR20153646,10,6.8,7.3,4.8,9.8,6.5
GRR20156753,9.8,9.8,8.5,8,10,NA
GRR20152967,NA,NA,NA,NA,NA,NA
GRR20154966,10,9.8,10,9.5,10,10
GRR20159109,9.5,8.1,7,7.5,9,6.3
GRR20159053,9,8.6,5.4,5.5,9,3
GRR20154443,10,8,9,9,8,9.5
GRR20157092,9,9.1,5,3,NA,9.1
GRR20159160,9,10,10,7.5,9,5.7
GRR20150149,4.5,2.5,6.7,0.5,6,7.5
GRR20155208,9,3.5,9,2.5,7,6.5
GRR20155156,6,5.5,8.9,5,2,9.1
GRR20149073,8,7,8,3,8,7.5
GRR20149145,7.5,2.5,5.3,5.5,9,7.5
GRR20149110,7.3,8.1,7,5.5,7,6.6
GRR20136720,9.5,9.8,9.9,5,9,NA
GRR20124652,NA,5.3,2.9,0.5,7,4
GRR20124646,6,5.9,1.8,4,7,8.5
